(min_dist,	velocity,	distance,	time_elapsed,	X position,	Y position
(1.000000,	0.000000,	0.000000,	0.000001,	-7.000000,	-7.000000)
(1.000031,	0.000000,	0.000000,	0.044829,	-7.000000,	-7.000000)
(1.034033,	1.066912,	0.099897,	0.048802,	-6.900380,	-6.992553)
(1.042718,	1.935667,	0.099897,	0.051609,	-6.803152,	-6.969614)
(1.081493,	1.938979,	0.099934,	0.051539,	-6.710133,	-6.933089)
(1.132171,	1.925240,	0.099962,	0.051922,	-6.621737,	-6.886413)
(1.188766,	1.947990,	0.099979,	0.051324,	-6.537535,	-6.832507)
(1.239246,	1.930575,	0.099989,	0.051792,	-6.456809,	-6.773507)
(1.297282,	1.934616,	0.099994,	0.051687,	-6.378828,	-6.710914)
(1.360015,	1.938321,	0.099997,	0.051589,	-6.302958,	-6.645775)
(1.425731,	1.938939,	0.099998,	0.051574,	-6.228685,	-6.578818)
(1.372435,	1.931414,	0.099999,	0.051775,	-6.155608,	-6.510558)
(1.299976,	1.802993,	0.100000,	0.055463,	-6.083418,	-6.441358)
(1.228356,	2.099474,	0.100000,	0.047631,	-6.011886,	-6.371479)
(1.157297,	1.946455,	0.100000,	0.051375,	-5.940838,	-6.301108)
(1.080004,	1.922906,	0.100000,	0.052005,	-5.870146,	-6.230379)
(1.000016,	1.945689,	0.100000,	0.051396,	-5.799716,	-6.159389)
(0.940030,	1.920929,	0.100000,	0.052058,	-5.729477,	-6.088209)
(0.860039,	1.954374,	0.100000,	0.051167,	-5.659379,	-6.016891)
(0.800046,	1.935834,	0.100000,	0.051657,	-5.589385,	-5.945471)
(0.720049,	1.931930,	0.100000,	0.051762,	-5.519465,	-5.873978)
(0.660057,	1.940850,	0.100000,	0.051524,	-5.449601,	-5.802431)
(0.620358,	0.895682,	0.046137,	0.051511,	-5.417679,	-5.769119)
(0.602333,	0.792471,	0.040994,	0.051729,	-5.390374,	-5.738543)
(0.587893,	0.739416,	0.038207,	0.051672,	-5.366794,	-5.708481)
(0.566091,	0.571980,	0.029533,	0.051632,	-5.350441,	-5.683889)
(0.540799,	0.566519,	0.029161,	0.051474,	-5.336452,	-5.658302)
(0.540492,	0.553578,	0.028599,	0.051662,	-5.325163,	-5.632026)
(0.524828,	0.537939,	0.027805,	0.051688,	-5.316679,	-5.605546)
(0.528673,	0.474844,	0.024499,	0.051594,	-5.311213,	-5.581665)
(0.522550,	0.578521,	0.029826,	0.051556,	-5.306873,	-5.552156)
(0.520225,	0.560316,	0.028933,	0.051637,	-5.304881,	-5.523292)
(0.520115,	0.539872,	0.027848,	0.051582,	-5.304666,	-5.495445)
(0.520922,	0.466472,	0.024147,	0.051765,	-5.305575,	-5.471316)
(0.521901,	0.471586,	0.024289,	0.051504,	-5.307290,	-5.447088)
(0.522736,	0.476148,	0.024663,	0.051797,	-5.309573,	-5.422531)
(0.523437,	0.478549,	0.024665,	0.051542,	-5.312225,	-5.398008)
(0.523889,	0.577582,	0.029831,	0.051648,	-5.315730,	-5.368384)
(0.524254,	0.577764,	0.029676,	0.051363,	-5.319410,	-5.338937)
(0.544731,	0.572355,	0.029560,	0.051647,	-5.323223,	-5.309624)
(0.544902,	0.568777,	0.029460,	0.051795,	-5.327141,	-5.280425)
(0.543597,	0.559289,	0.028823,	0.051535,	-5.330766,	-5.251831)
(0.542462,	0.557892,	0.028733,	0.051503,	-5.333824,	-5.223261)
(0.541636,	0.557182,	0.028828,	0.051739,	-5.336354,	-5.194545)
(0.540940,	0.566323,	0.029208,	0.051574,	-5.338387,	-5.165408)
(0.540560,	0.559051,	0.028970,	0.051820,	-5.339928,	-5.136479)
(0.560318,	0.565513,	0.029022,	0.051319,	-5.341102,	-5.107481)
(0.560131,	0.560359,	0.029032,	0.051810,	-5.341946,	-5.078461)
(0.560048,	0.557195,	0.028606,	0.051339,	-5.342167,	-5.049856)
(0.561995,	0.797872,	0.041415,	0.051906,	-5.340370,	-5.008480)
(0.546303,	0.757509,	0.041952,	0.055382,	-5.335631,	-4.966797)
(0.552229,	1.202717,	0.057275,	0.047622,	-5.325460,	-4.910432)
(0.531207,	0.742066,	0.038339,	0.051665,	-5.317555,	-4.872917)
(0.535967,	1.164397,	0.060182,	0.051685,	-5.304274,	-4.814218)
(0.519573,	1.165008,	0.060084,	0.051574,	-5.288956,	-4.756119)
(0.502896,	1.184740,	0.060894,	0.051399,	-5.271701,	-4.697721)
(0.607521,	1.195275,	0.061775,	0.051683,	-5.252854,	-4.638891)
(0.584781,	1.208844,	0.062756,	0.051914,	-5.233019,	-4.579353)
(0.576733,	1.258964,	0.064646,	0.051348,	-5.211384,	-4.518435)
(0.580311,	1.934546,	0.099988,	0.051685,	-5.173783,	-4.425787)
(0.688952,	1.932274,	0.099991,	0.051748,	-5.131527,	-4.335163)
(0.770162,	1.941577,	0.099994,	0.051502,	-5.085491,	-4.246396)
(0.864728,	1.940587,	0.099990,	0.051526,	-5.035671,	-4.159702)
(0.892545,	1.936111,	0.099986,	0.051643,	-4.981248,	-4.075825)
(0.821206,	1.930487,	0.099987,	0.051794,	-4.922133,	-3.995185)
(0.736007,	1.937162,	0.099992,	0.051618,	-4.859086,	-3.917574)
(0.659263,	1.950424,	0.099996,	0.051269,	-4.793093,	-3.842447)
(0.560061,	1.816707,	0.094477,	0.052005,	-4.728506,	-3.773495)
(0.500108,	1.703148,	0.087769,	0.051533,	-4.666496,	-3.711380)
(0.482951,	0.687297,	0.035465,	0.051600,	-4.639998,	-3.687809)
(0.466427,	0.594753,	0.030745,	0.051694,	-4.615091,	-3.669784)
(0.440018,	0.520289,	0.027404,	0.052672,	-4.590939,	-3.656835)
(0.444861,	0.606057,	0.030506,	0.050335,	-4.562129,	-3.646804)
(0.441711,	0.577978,	0.029889,	0.051713,	-4.532712,	-3.641512)
(0.440809,	0.496587,	0.025617,	0.051586,	-4.507103,	-3.640882)
(0.448560,	0.622228,	0.032099,	0.051588,	-4.475230,	-3.644682)
(0.441873,	0.532347,	0.027550,	0.051753,	-4.448475,	-3.651257)
(0.460090,	0.675555,	0.034824,	0.051549,	-4.415549,	-3.662596)
(0.460310,	0.620549,	0.031927,	0.051449,	-4.386114,	-3.674962)
(0.480819,	0.556196,	0.028705,	0.051610,	-4.360129,	-3.687159)
(0.481101,	0.523681,	0.026949,	0.051460,	-4.335928,	-3.699014)
(0.500750,	0.523607,	0.027015,	0.051594,	-4.311661,	-3.710886)
(0.520339,	0.524949,	0.027103,	0.051629,	-4.287140,	-3.722430)
(0.520007,	0.510987,	0.026357,	0.051580,	-4.262985,	-3.732977)
(0.541103,	0.487846,	0.025194,	0.051643,	-4.239430,	-3.741915)
(0.544158,	0.536861,	0.027701,	0.051598,	-4.212995,	-3.750191)
(0.549225,	0.541561,	0.027985,	0.051675,	-4.185834,	-3.756934)
(0.567296,	0.547923,	0.028293,	0.051637,	-4.158041,	-3.762230)
(0.564143,	0.514472,	0.028680,	0.055747,	-4.129657,	-3.766344)
(0.561686,	0.576030,	0.028935,	0.050232,	-4.100874,	-3.769307)
(0.560390,	0.590726,	0.029033,	0.049148,	-4.071894,	-3.771058)
(0.560000,	0.564622,	0.029086,	0.051515,	-4.042815,	-3.771687)
(0.560319,	0.562648,	0.029051,	0.051632,	-4.013767,	-3.771278)
(0.561168,	0.703339,	0.036402,	0.051756,	-3.977405,	-3.769566)
(0.562042,	0.566793,	0.029057,	0.051266,	-3.948426,	-3.767430)
(0.562582,	0.556929,	0.028784,	0.051683,	-3.919759,	-3.764845)
(0.562773,	0.551918,	0.028607,	0.051831,	-3.891288,	-3.762062)
(0.542516,	0.546793,	0.028199,	0.051572,	-3.863224,	-3.759301)
(0.542270,	0.546142,	0.028181,	0.051601,	-3.835169,	-3.756634)
(0.541182,	0.534262,	0.027664,	0.051781,	-3.807595,	-3.754404)
(0.540485,	0.536501,	0.027632,	0.051504,	-3.780006,	-3.752861)
(0.540181,	0.446652,	0.022946,	0.051374,	-3.757074,	-3.752053)
(0.540063,	0.444783,	0.023086,	0.051903,	-3.733994,	-3.751561)
(0.540016,	0.455095,	0.023399,	0.051417,	-3.710596,	-3.751285)
(0.540022,	0.579482,	0.029937,	0.051662,	-3.680659,	-3.751040)
(0.540047,	0.573402,	0.029584,	0.051594,	-3.651077,	-3.750720)
(0.540084,	0.574149,	0.029601,	0.051556,	-3.621479,	-3.750281)
(0.540289,	0.684135,	0.035406,	0.051752,	-3.586084,	-3.749427)
(0.540529,	0.689254,	0.035634,	0.051699,	-3.550475,	-3.748085)
(0.540764,	0.692343,	0.035943,	0.051915,	-3.514574,	-3.746357)
(0.540984,	0.705109,	0.036167,	0.051292,	-3.478464,	-3.744325)
(0.541184,	0.705896,	0.036327,	0.051463,	-3.442208,	-3.742044)
(0.521318,	0.705873,	0.036444,	0.051630,	-3.405849,	-3.739557)
(0.521450,	0.709398,	0.036530,	0.051495,	-3.369416,	-3.736894)
(0.521093,	0.710602,	0.036685,	0.051625,	-3.332819,	-3.734357)
(0.523098,	1.096846,	0.056696,	0.051690,	-3.276320,	-3.729629)
(0.526294,	1.086510,	0.056258,	0.051779,	-3.220526,	-3.722420)
(0.509741,	1.114322,	0.057464,	0.051569,	-3.163912,	-3.712565)
(0.493189,	1.140667,	0.058655,	0.051422,	-3.106563,	-3.700259)
(0.599330,	1.159894,	0.059832,	0.051584,	-3.048471,	-3.685934)
(0.594095,	1.177197,	0.061054,	0.051864,	-2.989460,	-3.670270)
(0.587832,	1.210226,	0.062265,	0.051449,	-2.929630,	-3.653028)
(0.593344,	1.275357,	0.065604,	0.051439,	-2.867549,	-3.631821)
(0.600952,	1.919186,	0.099474,	0.051832,	-2.775686,	-3.593660)
(0.679493,	1.942487,	0.099989,	0.051475,	-2.685661,	-3.550145)
(0.783922,	1.931662,	0.099993,	0.051765,	-2.597717,	-3.502558)
(0.854895,	1.935784,	0.099991,	0.051654,	-2.511918,	-3.451209)
(0.850815,	1.935007,	0.099985,	0.051672,	-2.428942,	-3.395424)
(0.764326,	1.945234,	0.099988,	0.051402,	-2.349260,	-3.335021)
(0.681414,	1.934818,	0.099993,	0.051681,	-2.272582,	-3.270842)
(0.640195,	1.260137,	0.064864,	0.051474,	-2.224566,	-3.227233)
(0.600489,	0.835419,	0.043067,	0.051552,	-2.194191,	-3.196702)
(0.584530,	0.779618,	0.040475,	0.051917,	-2.167821,	-3.165995)
(0.568127,	0.735988,	0.037924,	0.051528,	-2.145816,	-3.135109)
(0.541041,	0.582778,	0.030070,	0.051597,	-2.130966,	-3.108962)
(0.520601,	0.574797,	0.029703,	0.051676,	-2.119185,	-3.081695)
(0.526089,	0.554825,	0.028935,	0.052151,	-2.110622,	-3.054056)
(0.524646,	0.499736,	0.025571,	0.051168,	-2.105683,	-3.028967)
(0.520581,	0.598851,	0.030905,	0.051607,	-2.102714,	-2.998205)
(0.520084,	0.573882,	0.029527,	0.051451,	-2.102148,	-2.968683)
(0.521139,	0.481505,	0.024926,	0.051766,	-2.103112,	-2.943776)
(0.522808,	0.482013,	0.024823,	0.051498,	-2.105155,	-2.919038)
(0.524209,	0.459685,	0.025544,	0.055568,	-2.108054,	-2.893659)
(0.525162,	0.516679,	0.025840,	0.050011,	-2.111471,	-2.868046)
(0.525932,	0.624340,	0.030776,	0.049294,	-2.115906,	-2.837591)
(0.546831,	0.594260,	0.030587,	0.051471,	-2.120590,	-2.807365)
(0.547281,	0.589070,	0.030420,	0.051640,	-2.125462,	-2.777338)
(0.545877,	0.572722,	0.029709,	0.051873,	-2.130088,	-2.747992)
(0.544542,	0.574359,	0.029583,	0.051505,	-2.134196,	-2.718696)
(0.543527,	0.575860,	0.029657,	0.051500,	-2.137826,	-2.689262)
(0.562872,	0.574885,	0.029738,	0.051728,	-2.141045,	-2.659699)
(0.562217,	0.579609,	0.029792,	0.051400,	-2.143910,	-2.630045)
(0.560916,	0.570268,	0.029475,	0.051686,	-2.146128,	-2.600654)
(0.560201,	0.568758,	0.029408,	0.051706,	-2.147427,	-2.571274)
(0.560000,	0.570543,	0.029418,	0.051561,	-2.147870,	-2.541860)
(0.560188,	0.474394,	0.024457,	0.051554,	-2.147589,	-2.517404)
(0.560653,	0.467730,	0.024199,	0.051737,	-2.146729,	-2.493221)
(0.561149,	0.463218,	0.023858,	0.051506,	-2.145415,	-2.469399)
(0.561488,	0.552540,	0.028512,	0.051602,	-2.143482,	-2.440952)
(0.561664,	0.549808,	0.028458,	0.051760,	-2.141359,	-2.412574)
(0.541682,	0.550136,	0.028420,	0.051660,	-2.139151,	-2.384240)
(0.541672,	0.551732,	0.028386,	0.051448,	-2.136904,	-2.355943)
(0.540864,	0.537824,	0.027798,	0.051685,	-2.134982,	-2.328212)
(0.540330,	0.528517,	0.027789,	0.052580,	-2.133671,	-2.300453)
(0.540109,	0.506380,	0.027648,	0.054599,	-2.132881,	-2.272817)
(0.540011,	0.473902,	0.023798,	0.050218,	-2.132545,	-2.249021)
(0.540000,	0.479973,	0.023465,	0.048889,	-2.132462,	-2.225556)
(0.540008,	0.459966,	0.023845,	0.051840,	-2.132522,	-2.201711)
(0.540013,	0.458253,	0.023680,	0.051675,	-2.132665,	-2.178031)
(0.540022,	0.458470,	0.023570,	0.051410,	-2.132851,	-2.154462)
(0.540032,	0.453975,	0.023509,	0.051786,	-2.133083,	-2.130954)
(0.540043,	0.454869,	0.023443,	0.051539,	-2.133359,	-2.107512)
(0.540030,	0.461948,	0.023835,	0.051596,	-2.133639,	-2.083679)
(0.540018,	0.460947,	0.023799,	0.051631,	-2.133865,	-2.059881)
(0.540007,	0.461684,	0.023822,	0.051598,	-2.134026,	-2.036059)
(0.540000,	0.463411,	0.023853,	0.051473,	-2.134107,	-2.012206)
(0.540003,	0.461137,	0.023866,	0.051755,	-2.134094,	-1.988340)
(0.540034,	0.466688,	0.024083,	0.051605,	-2.133932,	-1.964257)
(0.540029,	0.452445,	0.023425,	0.051774,	-2.133677,	-1.940834)
(0.540010,	0.458158,	0.023549,	0.051400,	-2.133476,	-1.917285)
(0.540002,	0.421960,	0.023508,	0.055712,	-2.133373,	-1.893777)
(0.540000,	0.466321,	0.023397,	0.050174,	-2.133331,	-1.870380)
(0.540001,	0.476134,	0.023298,	0.048932,	-2.133298,	-1.847082)
(0.540003,	0.449487,	0.023243,	0.051710,	-2.133238,	-1.823839)
(0.540007,	0.451497,	0.023224,	0.051439,	-2.133139,	-1.800615)
(0.540010,	0.448443,	0.023222,	0.051785,	-2.133012,	-1.777392)
(0.540011,	0.450482,	0.023219,	0.051542,	-2.132867,	-1.754174)
(0.540013,	0.448193,	0.023204,	0.051773,	-2.132715,	-1.730970)
(0.540032,	0.440115,	0.022746,	0.051681,	-2.132518,	-1.708226)
(0.540034,	0.449612,	0.023153,	0.051495,	-2.132262,	-1.685074)
(0.540026,	0.419116,	0.023197,	0.055348,	-2.132017,	-1.661879)
(0.540020,	0.459745,	0.023173,	0.050403,	-2.131804,	-1.638707)
(0.540018,	0.472911,	0.023116,	0.048880,	-2.131609,	-1.615592)
(0.540021,	0.446918,	0.023061,	0.051600,	-2.131414,	-1.592532)
(0.540026,	0.445287,	0.023023,	0.051704,	-2.131201,	-1.569510)
(0.540031,	0.445030,	0.023001,	0.051684,	-2.130966,	-1.546510)
(0.540036,	0.413242,	0.022987,	0.055625,	-2.130711,	-1.523525)
(0.540039,	0.457025,	0.022972,	0.050264,	-2.130442,	-1.500555)
(0.540042,	0.468074,	0.022953,	0.049037,	-2.130163,	-1.477603)
(0.540046,	0.444666,	0.022930,	0.051568,	-2.129873,	-1.454675)
(0.540072,	0.449486,	0.023243,	0.051711,	-2.129537,	-1.431434)
(0.540104,	0.445586,	0.023208,	0.052085,	-2.129124,	-1.408230)
(0.540126,	0.422257,	0.023221,	0.054994,	-2.128652,	-1.385013)
(0.540209,	0.449958,	0.022590,	0.050204,	-2.128103,	-1.362430)
(0.540292,	0.461029,	0.022571,	0.048957,	-2.127425,	-1.339870)
(0.540292,	0.433075,	0.022364,	0.051640,	-2.126688,	-1.317518)
(0.540255,	0.403259,	0.022434,	0.055631,	-2.125972,	-1.295095)
(0.540225,	0.446574,	0.022405,	0.050171,	-2.125302,	-1.272700)
(0.540217,	0.453692,	0.022333,	0.049225,	-2.124663,	-1.250376)
(0.540226,	0.432467,	0.022266,	0.051486,	-2.124027,	-1.228120)
(0.540245,	0.399566,	0.022223,	0.055618,	-2.123373,	-1.205906)
(0.540263,	0.442435,	0.022202,	0.050182,	-2.122694,	-1.183714)
(0.540277,	0.453975,	0.022192,	0.048884,	-2.121994,	-1.161533)
(0.540286,	0.428887,	0.022181,	0.051718,	-2.121279,	-1.139364)
(0.540294,	0.399175,	0.022165,	0.055527,	-2.120554,	-1.117211)
(0.520291,	0.441783,	0.022143,	0.050123,	-2.119820,	-1.095079)
(0.520283,	0.448046,	0.022058,	0.049232,	-2.119072,	-1.073034)
(0.520004,	0.431602,	0.022337,	0.051755,	-2.118611,	-1.050701)
(0.520156,	0.402618,	0.022331,	0.055464,	-2.118796,	-1.028371)
(0.520514,	0.444782,	0.022287,	0.050107,	-2.119534,	-1.006097)
(0.540929,	0.452055,	0.022288,	0.049304,	-2.120660,	-0.983837)
(0.541206,	0.433025,	0.022445,	0.051833,	-2.122069,	-0.961436)
(0.540507,	0.496876,	0.027366,	0.055075,	-2.123623,	-0.934115)
(0.540100,	0.450058,	0.022621,	0.050263,	-2.124370,	-0.911506)
(0.540001,	0.457298,	0.022400,	0.048983,	-2.124603,	-0.889107)
(0.540097,	0.429137,	0.022181,	0.051689,	-2.124404,	-0.866926)
(0.540286,	0.393390,	0.021857,	0.055561,	-2.123863,	-0.845076)
(0.540508,	0.426018,	0.021485,	0.050433,	-2.123062,	-0.823605)
(0.540619,	0.442525,	0.021688,	0.049009,	-2.122081,	-0.801940)
(0.540788,	0.413194,	0.021329,	0.051620,	-2.121005,	-0.780638)
(0.520879,	0.384982,	0.021344,	0.055441,	-2.119817,	-0.759327)
(0.521021,	0.403939,	0.020272,	0.050186,	-2.118589,	-0.739092)
(0.520449,	0.353618,	0.017296,	0.048911,	-2.117661,	-0.721821)
(0.520093,	0.274282,	0.014227,	0.051870,	-2.117206,	-0.707601)
(0.520011,	0.208571,	0.011567,	0.055459,	-2.117111,	-0.696034)
(0.520346,	0.214579,	0.010784,	0.050256,	-2.117319,	-0.685252)
(0.520973,	0.183879,	0.009053,	0.049234,	-2.117744,	-0.676209)
(0.521812,	0.176548,	0.009092,	0.051496,	-2.118388,	-0.667141)
(0.522276,	0.148479,	0.008255,	0.055594,	-2.119111,	-0.658918)
(0.522488,	0.167304,	0.008388,	0.050139,	-2.119910,	-0.650567)
(0.542465,	0.165844,	0.008155,	0.049175,	-2.120697,	-0.642450)
(0.542193,	0.158632,	0.008135,	0.051281,	-2.121462,	-0.634351)
(0.540355,	0.143129,	0.007958,	0.055599,	-2.121998,	-0.626412)
(0.540244,	0.128274,	0.006469,	0.050432,	-2.122048,	-0.619943)
(0.541794,	0.103242,	0.005054,	0.048951,	-2.121785,	-0.614896)
(0.544174,	0.070519,	0.003635,	0.051552,	-2.121422,	-0.611279)
(0.545594,	0.067271,	0.003739,	0.055579,	-2.120928,	-0.607572)
(0.545943,	0.064503,	0.003239,	0.050216,	-2.120460,	-0.604367)
(0.526720,	0.061987,	0.003036,	0.048978,	-2.119998,	-0.601367)
(0.527215,	0.058595,	0.003032,	0.051738,	-2.119500,	-0.598376)
(0.520791,	0.056195,	0.003128,	0.055669,	-2.119127,	-0.595270)
(0.522658,	0.034251,	0.001719,	0.050188,	-2.119147,	-0.593551)
(0.526766,	0.054480,	0.002654,	0.048722,	-2.119566,	-0.590930)
(0.542900,	0.048679,	0.002550,	0.052386,	-2.120210,	-0.588463)
(0.540028,	0.029500,	0.001624,	0.055044,	-2.120743,	-0.586929)
(0.546617,	0.032574,	0.001634,	0.050159,	-2.121258,	-0.585379)
(0.541727,	0.050883,	0.002504,	0.049212,	-2.121682,	-0.582911)
(0.541542,	0.025878,	0.001339,	0.051761,	-2.121700,	-0.581571)
(0.550365,	0.044246,	0.002444,	0.055238,	-2.121389,	-0.579147)
(0.540943,	0.033255,	0.001673,	0.050306,	-2.120966,	-0.577528)
(0.542604,	0.000000,	0.000000,	0.049198,	-2.120966,	-0.577528)
(0.545153,	0.012642,	0.001272,	0.051381,	-2.120294,	-0.576449)
(0.540102,	0.000000,	0.000000,	0.055558,	-2.120294,	-0.576449)
(0.548095,	0.000000,	0.000000,	0.050186,	-2.120294,	-0.576449)
(0.525796,	0.007957,	0.001233,	0.049273,	-2.119265,	-0.575769)
(0.520014,	0.000000,	0.000000,	0.051680,	-2.119265,	-0.575769)
(0.527100,	0.000000,	0.000000,	0.055303,	-2.119265,	-0.575769)
(0.521324,	0.000000,	0.000000,	0.050200,	-2.119265,	-0.575769)
(0.521919,	0.000000,	0.000000,	0.048938,	-2.119265,	-0.575769)
(0.525892,	0.000000,	0.000000,	0.051981,	-2.119265,	-0.575769)
(0.520014,	0.000000,	0.000000,	0.055563,	-2.119265,	-0.575769)
(0.527100,	0.000000,	0.000000,	0.050072,	-2.119265,	-0.575769)
(0.521324,	0.000000,	0.000000,	0.049318,	-2.119265,	-0.575769)
(0.521919,	0.000000,	0.000000,	0.051947,	-2.119265,	-0.575769)
(0.525892,	0.000000,	0.000000,	0.054896,	-2.119265,	-0.575769)
(0.520014,	0.002299,	0.001311,	0.050170,	-2.119665,	-0.574520)
(0.526826,	0.000000,	0.000000,	0.049401,	-2.119665,	-0.574520)
(0.544939,	0.014352,	0.001450,	0.051614,	-2.120476,	-0.573319)
(0.540012,	0.000000,	0.000000,	0.055516,	-2.120476,	-0.573319)
(0.546170,	0.000000,	0.000000,	0.049973,	-2.120476,	-0.573319)
(0.541965,	0.000000,	0.000000,	0.049372,	-2.120476,	-0.573319)
(0.541399,	0.000000,	0.000000,	0.051434,	-2.120476,	-0.573319)
(0.547318,	0.000000,	0.000000,	0.055619,	-2.120476,	-0.573319)
